0Meta-Train Tasks: [23.999999475479125, 0]
Meta-Val Tasks: [27.99999942779541, 0]
1Meta-Train Tasks: [22.666666054725646, 0]
Meta-Val Tasks: [27.99999942779541, 0]
2Meta-Train Tasks: [23.99999933242798, 0]
Meta-Val Tasks: [27.99999942779541, 0]
3Meta-Train Tasks: [23.999999356269836, 0]
Meta-Val Tasks: [29.33333225250244, 0]
4Meta-Train Tasks: [26.333332800865172, 0]
Meta-Val Tasks: [29.33333225250244, 0]
5Meta-Train Tasks: [27.666665983200073, 0]
Meta-Val Tasks: [29.33333225250244, 0]
6Meta-Train Tasks: [29.66666579246521, 0]
Meta-Val Tasks: [29.33333225250244, 0]
7Meta-Train Tasks: [32.99999918937683, 0]
Meta-Val Tasks: [29.33333225250244, 0]
8Meta-Train Tasks: [39.999999332427976, 0]
Meta-Val Tasks: [30.666665458679198, 0]
9Meta-Train Tasks: [40.999999332427976, 0]
Meta-Val Tasks: [30.666665458679198, 0]
10Meta-Train Tasks: [51.99999847412109, 0]
Meta-Val Tasks: [33.333332252502444, 0]
11Meta-Train Tasks: [63.6666654586792, 0]
Meta-Val Tasks: [31.99999942779541, 0]
12Meta-Train Tasks: [70.99999809265137, 0]
Meta-Val Tasks: [33.333332252502444, 0]
13Meta-Train Tasks: [77.99999866485595, 0]
Meta-Val Tasks: [33.3333324432373, 0]
14Meta-Train Tasks: [81.33333187103271, 0]
Meta-Val Tasks: [31.999999618530275, 0]
15Meta-Train Tasks: [85.6666648864746, 0]
Meta-Val Tasks: [31.999999618530275, 0]
16Meta-Train Tasks: [89.99999771118163, 0]
Meta-Val Tasks: [34.66666660308838, 0]
17Meta-Train Tasks: [92.33333053588868, 0]
Meta-Val Tasks: [34.66666660308838, 0]
18Meta-Train Tasks: [94.3333309173584, 0]
Meta-Val Tasks: [33.333333015441895, 0]
19Meta-Train Tasks: [96.99999885559082, 0]
Meta-Val Tasks: [33.3333324432373, 0]
20Meta-Train Tasks: [98.33333206176758, 0]
