0Meta-Train Tasks: [23.33333284854889, 0]
Meta-Val Tasks: [27.99999942779541, 0]
1Meta-Train Tasks: [22.9999995470047, 0]
Meta-Val Tasks: [27.99999942779541, 0]
2Meta-Train Tasks: [26.66666622161865, 0]
Meta-Val Tasks: [27.99999942779541, 0]
3Meta-Train Tasks: [25.999999380111696, 0]
Meta-Val Tasks: [27.99999942779541, 0]
4Meta-Train Tasks: [28.333332586288453, 0]
Meta-Val Tasks: [27.99999942779541, 0]
5Meta-Train Tasks: [29.99999918937683, 0]
Meta-Val Tasks: [29.33333225250244, 0]
6Meta-Train Tasks: [28.666666173934935, 0]
Meta-Val Tasks: [29.33333225250244, 0]
7Meta-Train Tasks: [30.999999237060546, 0]
Meta-Val Tasks: [29.33333225250244, 0]
8Meta-Train Tasks: [39.99999928474426, 0]
Meta-Val Tasks: [30.666665458679198, 0]
9Meta-Train Tasks: [40.6666654586792, 0]
Meta-Val Tasks: [30.666665458679198, 0]
10Meta-Train Tasks: [50.333331966400145, 0]
Meta-Val Tasks: [29.33333263397217, 0]
11Meta-Train Tasks: [59.333330917358396, 0]
Meta-Val Tasks: [33.333333015441895, 0]
12Meta-Train Tasks: [63.99999809265137, 0]
Meta-Val Tasks: [31.99999942779541, 0]
13Meta-Train Tasks: [67.66666450500489, 0]
Meta-Val Tasks: [33.333332252502444, 0]
14Meta-Train Tasks: [73.333331489563, 0]
Meta-Val Tasks: [33.333332252502444, 0]
15Meta-Train Tasks: [76.3333309173584, 0]
Meta-Val Tasks: [34.66666584014892, 0]
16Meta-Train Tasks: [75.6666648864746, 0]
Meta-Val Tasks: [34.66666584014892, 0]
17Meta-Train Tasks: [81.33333129882813, 0]
Meta-Val Tasks: [33.333333015441895, 0]
18Meta-Train Tasks: [84.33333129882813, 0]
Meta-Val Tasks: [33.333333015441895, 0]
19Meta-Train Tasks: [86.99999771118163, 0]
Meta-Val Tasks: [31.999999618530275, 0]
20Meta-Train Tasks: [89.33332977294921, 0]
Meta-Val Tasks: [31.999999618530275, 0]
21Meta-Train Tasks: [91.66666412353516, 0]
Meta-Val Tasks: [30.66666603088379, 0]
22Meta-Train Tasks: [91.33333053588868, 0]
Meta-Val Tasks: [30.66666603088379, 0]
23Meta-Train Tasks: [94.6666648864746, 0]
Meta-Val Tasks: [30.66666603088379, 0]
24Meta-Train Tasks: [97.33333129882813, 0]
Meta-Val Tasks: [31.99999942779541, 0]
25Meta-Train Tasks: [96.33333129882813, 0]
Meta-Val Tasks: [33.333333015441895, 0]
26Meta-Train Tasks: [97.9999984741211, 0]
Meta-Val Tasks: [33.333333015441895, 0]
27Meta-Train Tasks: [97.33333244323731, 0]
Meta-Val Tasks: [33.333333015441895, 0]
28Meta-Train Tasks: [82.77777481079102, 0]
Meta-Val Tasks: [31.999999618530275, 0]
29Meta-Train Tasks: [86.66666431427002, 0]
Meta-Val Tasks: [31.999999618530275, 0]
30Meta-Train Tasks: [89.16666374206542, 0]
Meta-Val Tasks: [34.66666660308838, 0]
31Meta-Train Tasks: [93.0555534362793, 0]
Meta-Val Tasks: [34.66666660308838, 0]
32Meta-Train Tasks: [93.88888702392578, 0]
Meta-Val Tasks: [35.99999866485596, 0]
33Meta-Train Tasks: [95.83333206176758, 0]
Meta-Val Tasks: [34.66666507720947, 0]
34Meta-Train Tasks: [95.83333206176758, 0]
Meta-Val Tasks: [34.66666507720947, 0]
35Meta-Train Tasks: [94.9999984741211, 0]
Meta-Val Tasks: [35.99999866485596, 0]
36Meta-Train Tasks: [97.49999923706055, 0]
Meta-Val Tasks: [35.99999866485596, 0]
37Meta-Train Tasks: [98.33333282470703, 0]
Meta-Val Tasks: [37.33333187103271, 0]
38Meta-Train Tasks: [99.72222213745117, 0]
Meta-Val Tasks: [38.66666469573975, 0]
39Meta-Train Tasks: [99.16666641235352, 0]
Meta-Val Tasks: [38.66666469573975, 0]
40Meta-Train Tasks: [99.16666641235352, 0]
Meta-Val Tasks: [38.66666469573975, 0]
41Meta-Train Tasks: [99.72222213745117, 0]
Meta-Val Tasks: [38.66666469573975, 0]
42Meta-Train Tasks: [99.44444427490234, 0]
Meta-Val Tasks: [38.66666469573975, 0]
43Meta-Train Tasks: [99.44444427490234, 0]
Meta-Val Tasks: [38.66666469573975, 0]
44Meta-Train Tasks: [99.44444427490234, 0]
Meta-Val Tasks: [38.66666469573975, 0]
45Meta-Train Tasks: [99.72222213745117, 0]
Meta-Val Tasks: [38.66666469573975, 0]
46Meta-Train Tasks: [98.33333282470703, 0]
Meta-Val Tasks: [39.9999979019165, 0]
47Meta-Train Tasks: [99.72222213745117, 0]
Meta-Val Tasks: [38.66666507720947, 0]
48Meta-Train Tasks: [99.72222213745117, 0]
Meta-Val Tasks: [38.66666507720947, 0]
49Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [38.66666469573975, 0]
50Meta-Train Tasks: [99.72222213745117, 0]
Meta-Val Tasks: [38.66666507720947, 0]
51Meta-Train Tasks: [99.44444427490234, 0]
Meta-Val Tasks: [41.33333148956299, 0]
52Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [41.33333148956299, 0]
53Meta-Train Tasks: [98.61111068725586, 0]
Meta-Val Tasks: [38.66666469573975, 0]
54Meta-Train Tasks: [99.44444427490234, 0]
Meta-Val Tasks: [39.9999979019165, 0]
55Meta-Train Tasks: [99.72222213745117, 0]
Meta-Val Tasks: [39.9999979019165, 0]
56Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [39.9999979019165, 0]
57Meta-Train Tasks: [99.72222213745117, 0]
Meta-Val Tasks: [39.9999979019165, 0]
58Meta-Train Tasks: [99.72222213745117, 0]
Meta-Val Tasks: [39.9999979019165, 0]
59Meta-Train Tasks: [99.16666641235352, 0]
Meta-Val Tasks: [39.9999979019165, 0]
60Meta-Train Tasks: [99.44444427490234, 0]
Meta-Val Tasks: [39.9999979019165, 0]
61Meta-Train Tasks: [99.72222213745117, 0]
Meta-Val Tasks: [38.66666469573975, 0]
62Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [38.66666469573975, 0]
63Meta-Train Tasks: [99.72222213745117, 0]
Meta-Val Tasks: [38.66666469573975, 0]
64Meta-Train Tasks: [80.47618961334229, 0]
Meta-Val Tasks: [31.999999809265137, 0]
65Meta-Train Tasks: [88.57142868041993, 0]
Meta-Val Tasks: [33.3333324432373, 0]
66Meta-Train Tasks: [95.47619132995605, 0]
Meta-Val Tasks: [34.66666603088379, 0]
67Meta-Train Tasks: [96.42857208251954, 0]
Meta-Val Tasks: [33.33333320617676, 0]
68Meta-Train Tasks: [97.61904830932617, 0]
Meta-Val Tasks: [30.66666622161865, 0]
69Meta-Train Tasks: [98.80952453613281, 0]
Meta-Val Tasks: [31.99999942779541, 0]
70Meta-Train Tasks: [99.28571434020996, 0]
Meta-Val Tasks: [29.33333263397217, 0]
71Meta-Train Tasks: [99.28571472167968, 0]
Meta-Val Tasks: [30.666665840148926, 0]
72Meta-Train Tasks: [98.80952415466308, 0]
Meta-Val Tasks: [31.999999046325684, 0]
73Meta-Train Tasks: [99.52380981445313, 0]
Meta-Val Tasks: [33.33333263397217, 0]
74Meta-Train Tasks: [99.76190490722657, 0]
Meta-Val Tasks: [33.333333015441895, 0]
75Meta-Train Tasks: [99.52380981445313, 0]
Meta-Val Tasks: [33.333333015441895, 0]
76Meta-Train Tasks: [99.52380981445313, 0]
Meta-Val Tasks: [30.666665840148926, 0]
77Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [30.666665840148926, 0]
78Meta-Train Tasks: [76.0416633605957, 0]
Meta-Val Tasks: [35.99999923706055, 0]
79Meta-Train Tasks: [89.5833309173584, 0]
Meta-Val Tasks: [37.3333324432373, 0]
80Meta-Train Tasks: [93.74999771118163, 0]
Meta-Val Tasks: [33.33333263397217, 0]
81Meta-Train Tasks: [96.24999809265137, 0]
Meta-Val Tasks: [34.66666603088379, 0]
82Meta-Train Tasks: [97.49999771118163, 0]
Meta-Val Tasks: [34.666665649414064, 0]
83Meta-Train Tasks: [98.1249984741211, 0]
Meta-Val Tasks: [35.99999923706055, 0]
84Meta-Train Tasks: [99.16666603088379, 0]
Meta-Val Tasks: [37.3333324432373, 0]
85Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [38.66666526794434, 0]
86Meta-Train Tasks: [99.37499923706055, 0]
Meta-Val Tasks: [39.99999885559082, 0]
87Meta-Train Tasks: [99.58333282470703, 0]
Meta-Val Tasks: [39.99999885559082, 0]
88Meta-Train Tasks: [99.16666564941406, 0]
Meta-Val Tasks: [39.99999885559082, 0]
89Meta-Train Tasks: [99.16666564941406, 0]
Meta-Val Tasks: [39.99999885559082, 0]
90Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [38.66666603088379, 0]
