0Meta-Train Tasks: [17.499999403953552, 0]
Meta-Val Tasks: [27.99999942779541, 0]
1Meta-Train Tasks: [17.70833294391632, 0]
Meta-Val Tasks: [27.99999942779541, 0]
2Meta-Train Tasks: [18.333333015441895, 0]
Meta-Val Tasks: [27.99999942779541, 0]
3Meta-Train Tasks: [19.37499942779541, 0]
Meta-Val Tasks: [29.33333225250244, 0]
4Meta-Train Tasks: [19.374999284744263, 0]
Meta-Val Tasks: [29.33333225250244, 0]
5Meta-Train Tasks: [21.666666102409362, 0]
Meta-Val Tasks: [29.33333225250244, 0]
6Meta-Train Tasks: [23.541666126251222, 0]
Meta-Val Tasks: [27.99999885559082, 0]
7Meta-Train Tasks: [28.95833263397217, 0]
Meta-Val Tasks: [30.666665458679198, 0]
8Meta-Train Tasks: [34.999999046325684, 0]
Meta-Val Tasks: [30.666665458679198, 0]
9Meta-Train Tasks: [38.74999895095825, 0]
Meta-Val Tasks: [30.666665458679198, 0]
10Meta-Train Tasks: [44.1666654586792, 0]
Meta-Val Tasks: [33.333333015441895, 0]
11Meta-Train Tasks: [51.66666488647461, 0]
Meta-Val Tasks: [33.333332252502444, 0]
12Meta-Train Tasks: [59.58333110809326, 0]
Meta-Val Tasks: [33.333332252502444, 0]
13Meta-Train Tasks: [66.45833072662353, 0]
Meta-Val Tasks: [31.999999618530275, 0]
14Meta-Train Tasks: [69.16666431427002, 0]
Meta-Val Tasks: [34.66666660308838, 0]
15Meta-Train Tasks: [73.54166412353516, 0]
Meta-Val Tasks: [33.33333320617676, 0]
16Meta-Train Tasks: [76.45833015441895, 0]
Meta-Val Tasks: [31.999999618530275, 0]
17Meta-Train Tasks: [78.33333072662353, 0]
Meta-Val Tasks: [31.999999618530275, 0]
18Meta-Train Tasks: [79.37499771118163, 0]
Meta-Val Tasks: [31.999999618530275, 0]
19Meta-Train Tasks: [84.37499732971192, 0]
Meta-Val Tasks: [34.66666584014892, 0]
20Meta-Train Tasks: [85.83333053588868, 0]
Meta-Val Tasks: [34.66666584014892, 0]
21Meta-Train Tasks: [86.0416633605957, 0]
Meta-Val Tasks: [35.99999923706055, 0]
22Meta-Train Tasks: [89.37499732971192, 0]
Meta-Val Tasks: [34.666665649414064, 0]
23Meta-Train Tasks: [90.41666450500489, 0]
Meta-Val Tasks: [33.33333282470703, 0]
24Meta-Train Tasks: [93.12499732971192, 0]
Meta-Val Tasks: [34.666666412353514, 0]
25Meta-Train Tasks: [93.74999809265137, 0]
Meta-Val Tasks: [34.666666412353514, 0]
26Meta-Train Tasks: [95.41666412353516, 0]
Meta-Val Tasks: [34.666666412353514, 0]
27Meta-Train Tasks: [97.08333129882813, 0]
Meta-Val Tasks: [33.33333282470703, 0]
28Meta-Train Tasks: [97.9166648864746, 0]
Meta-Val Tasks: [33.33333282470703, 0]
29Meta-Train Tasks: [98.74999885559082, 0]
Meta-Val Tasks: [35.999999618530275, 0]
30Meta-Train Tasks: [97.9166648864746, 0]
Meta-Val Tasks: [37.33333320617676, 0]
31Meta-Train Tasks: [98.7499984741211, 0]
Meta-Val Tasks: [37.3333324432373, 0]
32Meta-Train Tasks: [98.5416648864746, 0]
Meta-Val Tasks: [37.33333320617676, 0]
33Meta-Train Tasks: [98.95833244323731, 0]
Meta-Val Tasks: [35.99999923706055, 0]
34Meta-Train Tasks: [99.16666564941406, 0]
Meta-Val Tasks: [35.99999923706055, 0]
35Meta-Train Tasks: [98.74999885559082, 0]
Meta-Val Tasks: [37.3333324432373, 0]
36Meta-Train Tasks: [98.5416648864746, 0]
