0Meta-Train Tasks: [42.46666574954987, 0]
Meta-Val Tasks: [57.0666650390625, 0]
1Meta-Train Tasks: [62.33333168029785, 0]
Meta-Val Tasks: [71.46666442871094, 0]
2Meta-Train Tasks: [77.466664352417, 0]
Meta-Val Tasks: [71.99999771118163, 0]
3Meta-Train Tasks: [85.33333045959472, 0]
Meta-Val Tasks: [74.13333099365235, 0]
4Meta-Train Tasks: [89.26666412353515, 0]
Meta-Val Tasks: [75.99999816894531, 0]
5Meta-Train Tasks: [93.73333160400391, 0]
Meta-Val Tasks: [73.59999801635742, 0]
6Meta-Train Tasks: [97.39999900817871, 0]
Meta-Val Tasks: [75.46666458129883, 0]
7Meta-Train Tasks: [99.33333282470703, 0]
Meta-Val Tasks: [74.13333129882812, 0]
8Meta-Train Tasks: [99.73333320617675, 0]
Meta-Val Tasks: [74.66666458129883, 0]
9Meta-Train Tasks: [99.59999977111816, 0]
Meta-Val Tasks: [72.79999740600586, 0]
10Meta-Train Tasks: [99.9333332824707, 0]
Meta-Val Tasks: [75.19999755859375, 0]
11Meta-Train Tasks: [99.9333332824707, 0]
Meta-Val Tasks: [74.66666442871093, 0]
12Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [74.93333099365235, 0]
13Meta-Train Tasks: [99.9333332824707, 0]
Meta-Val Tasks: [74.1333317565918, 0]
14Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [74.13333145141601, 0]
15Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [74.39999816894532, 0]
16Meta-Train Tasks: [99.9333332824707, 0]
Meta-Val Tasks: [74.66666473388672, 0]
17Meta-Train Tasks: [99.86666656494141, 0]
Meta-Val Tasks: [75.46666442871094, 0]
18Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [74.93333160400391, 0]
19Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [75.19999816894531, 0]
20Meta-Train Tasks: [99.9333332824707, 0]
Meta-Val Tasks: [75.46666427612304, 0]
21Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [74.66666442871093, 0]
22Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [75.19999725341796, 0]
23Meta-Train Tasks: [99.26666618347168, 0]
Meta-Val Tasks: [72.79999816894531, 0]
24Meta-Train Tasks: [98.53333251953126, 0]
Meta-Val Tasks: [74.66666427612304, 0]
25Meta-Train Tasks: [99.19999954223633, 0]
Meta-Val Tasks: [73.86666442871093, 0]
26Meta-Train Tasks: [99.33333282470703, 0]
Meta-Val Tasks: [74.66666412353516, 0]
27Meta-Train Tasks: [99.39999954223633, 0]
Meta-Val Tasks: [74.93333145141601, 0]
28Meta-Train Tasks: [99.86666656494141, 0]
Meta-Val Tasks: [75.46666442871094, 0]
29Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [75.46666442871094, 0]
30Meta-Train Tasks: [99.86666656494141, 0]
Meta-Val Tasks: [75.73333099365234, 0]
31Meta-Train Tasks: [99.9333332824707, 0]
Meta-Val Tasks: [75.19999816894531, 0]
32Meta-Train Tasks: [99.73333312988281, 0]
Meta-Val Tasks: [69.3333316040039, 0]
33Meta-Train Tasks: [99.73333312988281, 0]
Meta-Val Tasks: [69.33333084106445, 0]
34Meta-Train Tasks: [99.9333332824707, 0]
Meta-Val Tasks: [70.13333068847656, 0]
35Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [70.13333068847656, 0]
36Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [70.13333114624024, 0]
37Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [71.19999771118164, 0]
38Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [70.93333084106445, 0]
39Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [72.53333053588867, 0]
40Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [72.79999740600586, 0]
41Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [73.59999740600585, 0]
42Meta-Train Tasks: [99.79999984741211, 0]
Meta-Val Tasks: [68.26666488647462, 0]
43Meta-Train Tasks: [99.53333297729492, 0]
Meta-Val Tasks: [68.79999771118165, 0]
44Meta-Train Tasks: [99.53333305358886, 0]
Meta-Val Tasks: [69.86666458129883, 0]
45Meta-Train Tasks: [99.46666625976563, 0]
Meta-Val Tasks: [66.93333129882812, 0]
46Meta-Train Tasks: [98.79999923706055, 0]
Meta-Val Tasks: [67.73333099365234, 0]
47Meta-Train Tasks: [99.39999961853027, 0]
Meta-Val Tasks: [70.66666412353516, 0]
48Meta-Train Tasks: [99.86666656494141, 0]
Meta-Val Tasks: [70.93333053588867, 0]
49Meta-Train Tasks: [99.9333332824707, 0]
Meta-Val Tasks: [71.19999862670899, 0]
50Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [71.99999862670899, 0]
51Meta-Train Tasks: [99.9333332824707, 0]
Meta-Val Tasks: [69.59999771118164, 0]
52Meta-Train Tasks: [99.86666656494141, 0]
Meta-Val Tasks: [68.53333114624023, 0]
53Meta-Train Tasks: [99.86666656494141, 0]
Meta-Val Tasks: [67.73333099365234, 0]
54Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [67.73333084106446, 0]
55Meta-Train Tasks: [99.86666656494141, 0]
Meta-Val Tasks: [67.99999786376954, 0]
56Meta-Train Tasks: [99.66666641235352, 0]
Meta-Val Tasks: [63.199998168945314, 0]
57Meta-Train Tasks: [99.46666641235352, 0]
Meta-Val Tasks: [72.26666412353515, 0]
58Meta-Train Tasks: [99.79999984741211, 0]
Meta-Val Tasks: [70.93333053588867, 0]
59Meta-Train Tasks: [99.79999984741211, 0]
Meta-Val Tasks: [66.6666651916504, 0]
60Meta-Train Tasks: [99.53333305358886, 0]
Meta-Val Tasks: [68.53333114624023, 0]
61Meta-Train Tasks: [99.73333312988281, 0]
Meta-Val Tasks: [66.66666442871093, 0]
62Meta-Train Tasks: [99.73333312988281, 0]
Meta-Val Tasks: [67.19999786376952, 0]
63Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [66.39999725341796, 0]
64Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [67.19999771118164, 0]
65Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [67.46666427612304, 0]
66Meta-Train Tasks: [99.9333332824707, 0]
Meta-Val Tasks: [71.73333084106446, 0]
67Meta-Train Tasks: [99.9333332824707, 0]
Meta-Val Tasks: [67.99999740600586, 0]
68Meta-Train Tasks: [99.39999961853027, 0]
Meta-Val Tasks: [61.86666458129883, 0]
69Meta-Train Tasks: [99.79999984741211, 0]
Meta-Val Tasks: [62.66666442871094, 0]
70Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [63.99999755859375, 0]
71Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [64.26666397094726, 0]
72Meta-Train Tasks: [99.59999969482422, 0]
Meta-Val Tasks: [57.33333190917969, 0]
73Meta-Train Tasks: [98.79999938964843, 0]
Meta-Val Tasks: [69.59999786376953, 0]
74Meta-Train Tasks: [99.39999961853027, 0]
Meta-Val Tasks: [65.33333114624024, 0]
75Meta-Train Tasks: [99.86666656494141, 0]
Meta-Val Tasks: [66.39999801635742, 0]
