0Meta-Train Tasks: [26.9999995470047, 0]
Meta-Val Tasks: [47.99999847412109, 0]
1Meta-Train Tasks: [30.33333263397217, 0]
Meta-Val Tasks: [47.99999847412109, 0]
2Meta-Train Tasks: [27.333332681655882, 0]
Meta-Val Tasks: [46.66666526794434, 0]
3Meta-Train Tasks: [29.333332443237303, 0]
Meta-Val Tasks: [47.99999885559082, 0]
4Meta-Train Tasks: [36.33333258628845, 0]
Meta-Val Tasks: [49.33333168029785, 0]
5Meta-Train Tasks: [39.33333206176758, 0]
Meta-Val Tasks: [53.33333129882813, 0]
6Meta-Train Tasks: [36.99999885559082, 0]
Meta-Val Tasks: [57.33333206176758, 0]
7Meta-Train Tasks: [46.33333187103271, 0]
Meta-Val Tasks: [61.33333129882813, 0]
8Meta-Train Tasks: [51.66666526794434, 0]
Meta-Val Tasks: [65.33333206176758, 0]
9Meta-Train Tasks: [57.66666526794434, 0]
Meta-Val Tasks: [65.33333053588868, 0]
10Meta-Train Tasks: [64.66666507720947, 0]
Meta-Val Tasks: [67.99999694824218, 0]
11Meta-Train Tasks: [67.333331489563, 0]
Meta-Val Tasks: [69.33332977294921, 0]
12Meta-Train Tasks: [70.33333053588868, 0]
Meta-Val Tasks: [71.99999694824218, 0]
13Meta-Train Tasks: [75.33333129882813, 0]
Meta-Val Tasks: [73.33332977294921, 0]
14Meta-Train Tasks: [77.33333110809326, 0]
Meta-Val Tasks: [73.33332977294921, 0]
15Meta-Train Tasks: [81.66666450500489, 0]
Meta-Val Tasks: [73.33332977294921, 0]
16Meta-Train Tasks: [88.66666412353516, 0]
Meta-Val Tasks: [74.66666412353516, 0]
17Meta-Train Tasks: [84.99999809265137, 0]
Meta-Val Tasks: [73.33333129882813, 0]
18Meta-Train Tasks: [89.99999732971192, 0]
Meta-Val Tasks: [73.33333129882813, 0]
19Meta-Train Tasks: [89.66666297912597, 0]
Meta-Val Tasks: [73.33333129882813, 0]
20Meta-Train Tasks: [90.99999732971192, 0]
Meta-Val Tasks: [73.33333129882813, 0]
21Meta-Train Tasks: [93.66666374206542, 0]
Meta-Val Tasks: [73.33333129882813, 0]
22Meta-Train Tasks: [94.33333129882813, 0]
Meta-Val Tasks: [73.33333129882813, 0]
23Meta-Train Tasks: [96.6666648864746, 0]
Meta-Val Tasks: [70.66666564941406, 0]
24Meta-Train Tasks: [97.9999984741211, 0]
Meta-Val Tasks: [70.66666564941406, 0]
