0Meta-Train Tasks: [55.83333234786987, 0]
Meta-Val Tasks: [47.99999847412109, 0]
1Meta-Train Tasks: [64.16666450500489, 0]
Meta-Val Tasks: [47.99999847412109, 0]
2Meta-Train Tasks: [61.66666450500488, 0]
Meta-Val Tasks: [47.99999847412109, 0]
3Meta-Train Tasks: [64.99999732971192, 0]
Meta-Val Tasks: [46.66666526794434, 0]
4Meta-Train Tasks: [64.99999732971192, 0]
Meta-Val Tasks: [46.66666526794434, 0]
5Meta-Train Tasks: [63.333330917358396, 0]
Meta-Val Tasks: [49.33333168029785, 0]
6Meta-Train Tasks: [64.99999828338623, 0]
Meta-Val Tasks: [50.66666526794434, 0]
7Meta-Train Tasks: [69.16666431427002, 0]
Meta-Val Tasks: [53.33333129882813, 0]
8Meta-Train Tasks: [77.49999713897705, 0]
Meta-Val Tasks: [55.99999847412109, 0]
9Meta-Train Tasks: [74.1666633605957, 0]
Meta-Val Tasks: [58.666665649414064, 0]
10Meta-Train Tasks: [81.66666431427002, 0]
Meta-Val Tasks: [65.33333282470703, 0]
11Meta-Train Tasks: [85.8333309173584, 0]
Meta-Val Tasks: [66.6666648864746, 0]
12Meta-Train Tasks: [90.83333129882813, 0]
Meta-Val Tasks: [66.6666633605957, 0]
13Meta-Train Tasks: [94.16666564941406, 0]
Meta-Val Tasks: [67.99999694824218, 0]
14Meta-Train Tasks: [98.33333282470703, 0]
Meta-Val Tasks: [69.33333129882813, 0]
15Meta-Train Tasks: [94.16666526794434, 0]
Meta-Val Tasks: [74.66666564941406, 0]
16Meta-Train Tasks: [99.16666641235352, 0]
Meta-Val Tasks: [74.66666564941406, 0]
17Meta-Train Tasks: [99.16666641235352, 0]
Meta-Val Tasks: [75.9999984741211, 0]
18Meta-Train Tasks: [98.33333282470703, 0]
Meta-Val Tasks: [75.9999984741211, 0]
19Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [75.9999984741211, 0]
20Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [75.9999984741211, 0]
21Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [75.9999984741211, 0]
22Meta-Train Tasks: [99.16666641235352, 0]
Meta-Val Tasks: [74.66666564941406, 0]
23Meta-Train Tasks: [99.16666641235352, 0]
Meta-Val Tasks: [74.66666564941406, 0]
24Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [74.66666564941406, 0]
25Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [74.66666564941406, 0]
26Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [75.9999984741211, 0]
27Meta-Train Tasks: [98.33333282470703, 0]
Meta-Val Tasks: [74.66666564941406, 0]
28Meta-Train Tasks: [99.16666641235352, 0]
Meta-Val Tasks: [74.66666564941406, 0]
29Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [74.66666564941406, 0]
30Meta-Train Tasks: [100.0, 0]
