0Meta-Train Tasks: [22.999999392032624, 0]
Meta-Val Tasks: [47.99999847412109, 0]
1Meta-Train Tasks: [25.3333327293396, 0]
Meta-Val Tasks: [47.99999847412109, 0]
2Meta-Train Tasks: [25.999999380111696, 0]
Meta-Val Tasks: [46.66666526794434, 0]
3Meta-Train Tasks: [26.999999141693117, 0]
Meta-Val Tasks: [49.33333168029785, 0]
4Meta-Train Tasks: [32.33333234786987, 0]
Meta-Val Tasks: [53.33333129882813, 0]
5Meta-Train Tasks: [35.49999885559082, 0]
Meta-Val Tasks: [57.33333206176758, 0]
6Meta-Train Tasks: [44.49999885559082, 0]
Meta-Val Tasks: [63.99999847412109, 0]
7Meta-Train Tasks: [49.49999866485596, 0]
Meta-Val Tasks: [66.6666648864746, 0]
8Meta-Train Tasks: [54.16666507720947, 0]
Meta-Val Tasks: [67.99999771118163, 0]
9Meta-Train Tasks: [55.16666488647461, 0]
Meta-Val Tasks: [69.33333129882813, 0]
10Meta-Train Tasks: [59.83333206176758, 0]
Meta-Val Tasks: [69.33333129882813, 0]
11Meta-Train Tasks: [64.6666648864746, 0]
Meta-Val Tasks: [71.99999694824218, 0]
12Meta-Train Tasks: [62.33333168029785, 0]
Meta-Val Tasks: [71.99999694824218, 0]
13Meta-Train Tasks: [66.33333168029785, 0]
Meta-Val Tasks: [71.99999694824218, 0]
14Meta-Train Tasks: [68.1666648864746, 0]
Meta-Val Tasks: [71.99999694824218, 0]
15Meta-Train Tasks: [70.99999752044678, 0]
Meta-Val Tasks: [73.33333129882813, 0]
16Meta-Train Tasks: [70.66666412353516, 0]
Meta-Val Tasks: [71.9999984741211, 0]
17Meta-Train Tasks: [76.16666450500489, 0]
Meta-Val Tasks: [71.99999771118163, 0]
18Meta-Train Tasks: [77.8333309173584, 0]
Meta-Val Tasks: [71.99999771118163, 0]
19Meta-Train Tasks: [77.6666648864746, 0]
Meta-Val Tasks: [71.99999771118163, 0]
20Meta-Train Tasks: [80.66666412353516, 0]
Meta-Val Tasks: [73.33333129882813, 0]
21Meta-Train Tasks: [85.49999732971192, 0]
Meta-Val Tasks: [73.33333129882813, 0]
22Meta-Train Tasks: [86.66666450500489, 0]
Meta-Val Tasks: [73.33333129882813, 0]
23Meta-Train Tasks: [89.33333053588868, 0]
Meta-Val Tasks: [73.33333129882813, 0]
24Meta-Train Tasks: [89.8333309173584, 0]
Meta-Val Tasks: [73.33333129882813, 0]
25Meta-Train Tasks: [90.33333053588868, 0]
Meta-Val Tasks: [73.33333129882813, 0]
26Meta-Train Tasks: [90.33333053588868, 0]
Meta-Val Tasks: [71.99999694824218, 0]
27Meta-Train Tasks: [95.33333129882813, 0]
Meta-Val Tasks: [71.99999694824218, 0]
28Meta-Train Tasks: [94.83333129882813, 0]
Meta-Val Tasks: [71.99999694824218, 0]
29Meta-Train Tasks: [95.16666412353516, 0]
Meta-Val Tasks: [71.99999694824218, 0]
30Meta-Train Tasks: [95.83333129882813, 0]
Meta-Val Tasks: [71.99999694824218, 0]
31Meta-Train Tasks: [96.33333129882813, 0]
Meta-Val Tasks: [71.99999694824218, 0]
32Meta-Train Tasks: [97.6666648864746, 0]
Meta-Val Tasks: [71.99999694824218, 0]
33Meta-Train Tasks: [97.49999809265137, 0]
Meta-Val Tasks: [71.99999694824218, 0]
34Meta-Train Tasks: [97.6666648864746, 0]
Meta-Val Tasks: [71.99999694824218, 0]
35Meta-Train Tasks: [97.33333206176758, 0]
Meta-Val Tasks: [71.99999694824218, 0]
36Meta-Train Tasks: [98.33333206176758, 0]
Meta-Val Tasks: [71.99999694824218, 0]
37Meta-Train Tasks: [98.83333244323731, 0]
Meta-Val Tasks: [71.99999694824218, 0]
38Meta-Train Tasks: [98.99999923706055, 0]
Meta-Val Tasks: [71.99999694824218, 0]
39Meta-Train Tasks: [98.16666526794434, 0]
Meta-Val Tasks: [71.99999694824218, 0]
40Meta-Train Tasks: [98.16666526794434, 0]
Meta-Val Tasks: [71.99999694824218, 0]
41Meta-Train Tasks: [99.16666603088379, 0]
Meta-Val Tasks: [73.33333129882813, 0]
42Meta-Train Tasks: [98.49999885559082, 0]
Meta-Val Tasks: [73.33333129882813, 0]
43Meta-Train Tasks: [99.33333282470703, 0]
Meta-Val Tasks: [73.33333129882813, 0]
44Meta-Train Tasks: [98.83333244323731, 0]
Meta-Val Tasks: [71.99999694824218, 0]
45Meta-Train Tasks: [98.49999923706055, 0]
Meta-Val Tasks: [71.99999694824218, 0]
46Meta-Train Tasks: [99.33333282470703, 0]
Meta-Val Tasks: [73.33333129882813, 0]
47Meta-Train Tasks: [98.83333244323731, 0]
Meta-Val Tasks: [71.99999694824218, 0]
48Meta-Train Tasks: [99.33333282470703, 0]
Meta-Val Tasks: [71.99999694824218, 0]
49Meta-Train Tasks: [99.16666603088379, 0]
Meta-Val Tasks: [71.99999694824218, 0]
50Meta-Train Tasks: [99.16666603088379, 0]
Meta-Val Tasks: [73.33333129882813, 0]
51Meta-Train Tasks: [99.83333320617676, 0]
Meta-Val Tasks: [73.33333129882813, 0]
52Meta-Train Tasks: [99.16666603088379, 0]
Meta-Val Tasks: [74.66666564941406, 0]
53Meta-Train Tasks: [99.49999961853027, 0]
Meta-Val Tasks: [73.33333129882813, 0]
54Meta-Train Tasks: [98.83333244323731, 0]
Meta-Val Tasks: [73.33333129882813, 0]
55Meta-Train Tasks: [99.16666603088379, 0]
Meta-Val Tasks: [71.99999694824218, 0]
56Meta-Train Tasks: [99.49999961853027, 0]
Meta-Val Tasks: [71.99999694824218, 0]
57Meta-Train Tasks: [99.33333282470703, 0]
Meta-Val Tasks: [73.33333129882813, 0]
58Meta-Train Tasks: [99.49999961853027, 0]
Meta-Val Tasks: [73.33333129882813, 0]
59Meta-Train Tasks: [99.16666603088379, 0]
Meta-Val Tasks: [73.33333129882813, 0]
60Meta-Train Tasks: [99.33333282470703, 0]
