0Meta-Train Tasks: [38.19999886512756, 0]
Meta-Val Tasks: [53.333331985473635, 0]
1Meta-Train Tasks: [42.133332228660585, 0]
Meta-Val Tasks: [56.26666496276855, 0]
2Meta-Train Tasks: [48.33333212852478, 0]
Meta-Val Tasks: [61.86666458129883, 0]
3Meta-Train Tasks: [60.933331661224365, 0]
Meta-Val Tasks: [64.26666458129883, 0]
4Meta-Train Tasks: [70.19999774932862, 0]
Meta-Val Tasks: [63.733331298828126, 0]
5Meta-Train Tasks: [80.59999736785889, 0]
Meta-Val Tasks: [63.99999740600586, 0]
6Meta-Train Tasks: [89.53333129882813, 0]
Meta-Val Tasks: [64.53333084106445, 0]
7Meta-Train Tasks: [95.13333122253418, 0]
Meta-Val Tasks: [62.66666519165039, 0]
8Meta-Train Tasks: [98.5333324432373, 0]
Meta-Val Tasks: [64.26666412353515, 0]
9Meta-Train Tasks: [99.26666610717774, 0]
Meta-Val Tasks: [65.33333129882813, 0]
10Meta-Train Tasks: [98.9999993133545, 0]
Meta-Val Tasks: [64.79999786376953, 0]
11Meta-Train Tasks: [99.26666610717774, 0]
Meta-Val Tasks: [64.79999786376953, 0]
12Meta-Train Tasks: [99.66666641235352, 0]
Meta-Val Tasks: [63.99999755859375, 0]
13Meta-Train Tasks: [99.19999954223633, 0]
Meta-Val Tasks: [64.53333129882813, 0]
14Meta-Train Tasks: [99.86666656494141, 0]
Meta-Val Tasks: [64.53333099365234, 0]
15Meta-Train Tasks: [99.9333332824707, 0]
Meta-Val Tasks: [64.53333114624023, 0]
16Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [64.79999771118165, 0]
17Meta-Train Tasks: [99.66666641235352, 0]
Meta-Val Tasks: [64.26666442871094, 0]
18Meta-Train Tasks: [99.59999977111816, 0]
Meta-Val Tasks: [64.53333114624023, 0]
19Meta-Train Tasks: [99.79999984741211, 0]
Meta-Val Tasks: [64.26666488647462, 0]
20Meta-Train Tasks: [99.79999984741211, 0]
Meta-Val Tasks: [63.99999786376953, 0]
21Meta-Train Tasks: [99.73333312988281, 0]
Meta-Val Tasks: [63.73333076477051, 0]
22Meta-Train Tasks: [99.66666641235352, 0]
Meta-Val Tasks: [63.99999771118164, 0]
23Meta-Train Tasks: [99.53333297729492, 0]
Meta-Val Tasks: [61.866664810180666, 0]
24Meta-Train Tasks: [99.53333297729492, 0]
Meta-Val Tasks: [62.66666488647461, 0]
25Meta-Train Tasks: [99.26666610717774, 0]
Meta-Val Tasks: [62.66666397094727, 0]
26Meta-Train Tasks: [99.59999969482422, 0]
Meta-Val Tasks: [63.73333137512207, 0]
27Meta-Train Tasks: [99.79999984741211, 0]
Meta-Val Tasks: [63.19999786376953, 0]
28Meta-Train Tasks: [99.53333297729492, 0]
Meta-Val Tasks: [63.46666404724121, 0]
29Meta-Train Tasks: [99.86666656494141, 0]
Meta-Val Tasks: [60.53333061218262, 0]
30Meta-Train Tasks: [99.33333282470703, 0]
Meta-Val Tasks: [59.466664505004886, 0]
31Meta-Train Tasks: [99.66666641235352, 0]
Meta-Val Tasks: [61.33333114624023, 0]
32Meta-Train Tasks: [99.9333332824707, 0]
Meta-Val Tasks: [61.06666458129883, 0]
33Meta-Train Tasks: [99.86666656494141, 0]
Meta-Val Tasks: [60.5333317565918, 0]
34Meta-Train Tasks: [99.26666610717774, 0]
Meta-Val Tasks: [59.199998474121095, 0]
35Meta-Train Tasks: [99.26666610717774, 0]
Meta-Val Tasks: [59.46666473388672, 0]
36Meta-Train Tasks: [99.19999946594238, 0]
Meta-Val Tasks: [59.199998168945314, 0]
37Meta-Train Tasks: [98.8666658782959, 0]
Meta-Val Tasks: [60.79999855041504, 0]
38Meta-Train Tasks: [98.66666580200196, 0]
Meta-Val Tasks: [59.46666427612305, 0]
39Meta-Train Tasks: [99.66666641235352, 0]
Meta-Val Tasks: [58.39999786376953, 0]
40Meta-Train Tasks: [99.66666641235352, 0]
Meta-Val Tasks: [55.99999816894531, 0]
41Meta-Train Tasks: [99.79999984741211, 0]
Meta-Val Tasks: [56.53333145141602, 0]
42Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [56.79999801635742, 0]
43Meta-Train Tasks: [99.73333312988281, 0]
Meta-Val Tasks: [55.199998474121095, 0]
44Meta-Train Tasks: [99.86666656494141, 0]
Meta-Val Tasks: [54.39999801635742, 0]
