0Meta-Train Tasks: [29.999999237060546, 0]
Meta-Val Tasks: [49.3333324432373, 0]
1Meta-Train Tasks: [28.33333284854889, 0]
Meta-Val Tasks: [49.3333324432373, 0]
2Meta-Train Tasks: [31.666665887832643, 0]
Meta-Val Tasks: [49.3333324432373, 0]
3Meta-Train Tasks: [27.333332800865172, 0]
Meta-Val Tasks: [49.3333324432373, 0]
4Meta-Train Tasks: [30.333332562446593, 0]
Meta-Val Tasks: [49.3333324432373, 0]
5Meta-Train Tasks: [28.33333263397217, 0]
Meta-Val Tasks: [49.3333324432373, 0]
6Meta-Train Tasks: [29.333332657814026, 0]
Meta-Val Tasks: [49.3333324432373, 0]
7Meta-Train Tasks: [29.666665935516356, 0]
Meta-Val Tasks: [50.66666526794434, 0]
8Meta-Train Tasks: [34.99999914169312, 0]
Meta-Val Tasks: [50.66666526794434, 0]
9Meta-Train Tasks: [32.33333241939545, 0]
Meta-Val Tasks: [50.66666526794434, 0]
10Meta-Train Tasks: [35.9999990940094, 0]
Meta-Val Tasks: [49.33333206176758, 0]
11Meta-Train Tasks: [35.666665649414064, 0]
Meta-Val Tasks: [50.666665649414064, 0]
12Meta-Train Tasks: [36.666665983200076, 0]
Meta-Val Tasks: [50.666665649414064, 0]
13Meta-Train Tasks: [39.99999918937683, 0]
Meta-Val Tasks: [51.99999847412109, 0]
14Meta-Train Tasks: [40.99999914169312, 0]
Meta-Val Tasks: [51.99999847412109, 0]
15Meta-Train Tasks: [41.99999918937683, 0]
Meta-Val Tasks: [53.33333129882813, 0]
16Meta-Train Tasks: [44.33333187103271, 0]
Meta-Val Tasks: [51.99999771118164, 0]
17Meta-Train Tasks: [46.99999895095825, 0]
Meta-Val Tasks: [53.333330917358396, 0]
18Meta-Train Tasks: [50.66666507720947, 0]
Meta-Val Tasks: [53.333330917358396, 0]
19Meta-Train Tasks: [53.99999885559082, 0]
Meta-Val Tasks: [55.99999732971192, 0]
20Meta-Train Tasks: [52.66666526794434, 0]
Meta-Val Tasks: [54.66666450500488, 0]
21Meta-Train Tasks: [52.66666526794434, 0]
Meta-Val Tasks: [54.66666450500488, 0]
22Meta-Train Tasks: [61.66666469573975, 0]
Meta-Val Tasks: [55.99999771118164, 0]
23Meta-Train Tasks: [57.66666526794434, 0]
Meta-Val Tasks: [55.99999771118164, 0]
24Meta-Train Tasks: [66.66666374206542, 0]
Meta-Val Tasks: [57.33333053588867, 0]
25Meta-Train Tasks: [71.9999979019165, 0]
Meta-Val Tasks: [58.666664123535156, 0]
26Meta-Train Tasks: [64.66666450500489, 0]
Meta-Val Tasks: [58.666664123535156, 0]
27Meta-Train Tasks: [70.99999809265137, 0]
Meta-Val Tasks: [58.666664123535156, 0]
28Meta-Train Tasks: [74.3333309173584, 0]
Meta-Val Tasks: [59.999996948242185, 0]
29Meta-Train Tasks: [73.33333110809326, 0]
Meta-Val Tasks: [61.33333129882813, 0]
30Meta-Train Tasks: [76.3333309173584, 0]
Meta-Val Tasks: [61.33333206176758, 0]
31Meta-Train Tasks: [78.99999771118163, 0]
Meta-Val Tasks: [61.33333206176758, 0]
32Meta-Train Tasks: [81.99999656677247, 0]
Meta-Val Tasks: [63.99999847412109, 0]
33Meta-Train Tasks: [81.99999713897705, 0]
Meta-Val Tasks: [63.99999847412109, 0]
34Meta-Train Tasks: [84.3333309173584, 0]
Meta-Val Tasks: [63.99999847412109, 0]
35Meta-Train Tasks: [85.33332977294921, 0]
Meta-Val Tasks: [62.66666488647461, 0]
36Meta-Train Tasks: [86.66666450500489, 0]
Meta-Val Tasks: [62.666665649414064, 0]
37Meta-Train Tasks: [85.99999771118163, 0]
Meta-Val Tasks: [63.99999847412109, 0]
38Meta-Train Tasks: [85.66666374206542, 0]
Meta-Val Tasks: [63.99999847412109, 0]
39Meta-Train Tasks: [86.99999694824218, 0]
Meta-Val Tasks: [63.99999847412109, 0]
40Meta-Train Tasks: [86.99999732971192, 0]
Meta-Val Tasks: [63.99999847412109, 0]
41Meta-Train Tasks: [87.3333309173584, 0]
Meta-Val Tasks: [63.99999847412109, 0]
42Meta-Train Tasks: [89.66666412353516, 0]
Meta-Val Tasks: [63.99999847412109, 0]
43Meta-Train Tasks: [90.66666412353516, 0]
Meta-Val Tasks: [63.99999847412109, 0]
44Meta-Train Tasks: [93.33333168029785, 0]
Meta-Val Tasks: [63.99999847412109, 0]
45Meta-Train Tasks: [95.66666412353516, 0]
Meta-Val Tasks: [63.99999847412109, 0]
46Meta-Train Tasks: [90.99999732971192, 0]
Meta-Val Tasks: [63.99999847412109, 0]
47Meta-Train Tasks: [92.33333129882813, 0]
Meta-Val Tasks: [63.99999847412109, 0]
48Meta-Train Tasks: [90.99999771118163, 0]
Meta-Val Tasks: [63.99999847412109, 0]
49Meta-Train Tasks: [91.99999694824218, 0]
Meta-Val Tasks: [63.99999847412109, 0]
50Meta-Train Tasks: [96.33333168029785, 0]
Meta-Val Tasks: [63.99999847412109, 0]
51Meta-Train Tasks: [92.99999809265137, 0]
Meta-Val Tasks: [63.99999847412109, 0]
52Meta-Train Tasks: [95.66666526794434, 0]
Meta-Val Tasks: [63.99999847412109, 0]
53Meta-Train Tasks: [94.33333168029785, 0]
Meta-Val Tasks: [63.99999847412109, 0]
54Meta-Train Tasks: [94.33333053588868, 0]
Meta-Val Tasks: [63.99999847412109, 0]
55Meta-Train Tasks: [97.33333168029785, 0]
Meta-Val Tasks: [63.99999847412109, 0]
56Meta-Train Tasks: [95.33333129882813, 0]
Meta-Val Tasks: [63.99999847412109, 0]
57Meta-Train Tasks: [97.6666648864746, 0]
Meta-Val Tasks: [63.99999847412109, 0]
58Meta-Train Tasks: [94.66666412353516, 0]
Meta-Val Tasks: [65.33333206176758, 0]
59Meta-Train Tasks: [95.99999809265137, 0]
Meta-Val Tasks: [65.33333206176758, 0]
60Meta-Train Tasks: [96.99999809265137, 0]
Meta-Val Tasks: [65.33333206176758, 0]
61Meta-Train Tasks: [96.6666648864746, 0]
Meta-Val Tasks: [65.33333206176758, 0]
62Meta-Train Tasks: [95.99999771118163, 0]
Meta-Val Tasks: [63.99999847412109, 0]
63Meta-Train Tasks: [96.66666450500489, 0]
Meta-Val Tasks: [63.99999847412109, 0]
64Meta-Train Tasks: [96.99999809265137, 0]
Meta-Val Tasks: [62.666664123535156, 0]
65Meta-Train Tasks: [96.3333309173584, 0]
Meta-Val Tasks: [63.99999847412109, 0]
66Meta-Train Tasks: [96.33333129882813, 0]
Meta-Val Tasks: [63.99999847412109, 0]
67Meta-Train Tasks: [94.33333015441895, 0]
Meta-Val Tasks: [63.99999847412109, 0]
68Meta-Train Tasks: [97.66666526794434, 0]
Meta-Val Tasks: [63.99999847412109, 0]
69Meta-Train Tasks: [96.66666412353516, 0]
Meta-Val Tasks: [65.33333129882813, 0]
70Meta-Train Tasks: [98.33333206176758, 0]
Meta-Val Tasks: [63.99999847412109, 0]
71Meta-Train Tasks: [97.66666526794434, 0]
Meta-Val Tasks: [62.666664123535156, 0]
72Meta-Train Tasks: [96.33333244323731, 0]
Meta-Val Tasks: [62.666664123535156, 0]
73Meta-Train Tasks: [96.9999984741211, 0]
Meta-Val Tasks: [62.666664123535156, 0]
74Meta-Train Tasks: [97.99999885559082, 0]
Meta-Val Tasks: [62.666664123535156, 0]
75Meta-Train Tasks: [97.9999984741211, 0]
Meta-Val Tasks: [62.666664123535156, 0]
76Meta-Train Tasks: [98.33333244323731, 0]
Meta-Val Tasks: [63.99999771118164, 0]
77Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [63.99999771118164, 0]
78Meta-Train Tasks: [97.33333244323731, 0]
Meta-Val Tasks: [63.99999771118164, 0]
79Meta-Train Tasks: [98.66666564941406, 0]
Meta-Val Tasks: [63.99999771118164, 0]
80Meta-Train Tasks: [99.33333282470703, 0]
Meta-Val Tasks: [63.99999771118164, 0]
81Meta-Train Tasks: [98.99999923706055, 0]
Meta-Val Tasks: [63.99999771118164, 0]
82Meta-Train Tasks: [97.33333244323731, 0]
Meta-Val Tasks: [62.666664123535156, 0]
83Meta-Train Tasks: [99.33333282470703, 0]
Meta-Val Tasks: [65.33333206176758, 0]
84Meta-Train Tasks: [98.99999923706055, 0]
Meta-Val Tasks: [65.33333206176758, 0]
85Meta-Train Tasks: [96.9999984741211, 0]
Meta-Val Tasks: [63.99999847412109, 0]
86Meta-Train Tasks: [97.99999885559082, 0]
Meta-Val Tasks: [63.99999847412109, 0]
87Meta-Train Tasks: [98.99999923706055, 0]
Meta-Val Tasks: [63.99999847412109, 0]
88Meta-Train Tasks: [98.33333244323731, 0]
Meta-Val Tasks: [63.99999847412109, 0]
89Meta-Train Tasks: [97.9999984741211, 0]
Meta-Val Tasks: [63.99999847412109, 0]
90Meta-Train Tasks: [99.33333282470703, 0]
Meta-Val Tasks: [63.99999847412109, 0]
91Meta-Train Tasks: [98.99999923706055, 0]
Meta-Val Tasks: [63.99999847412109, 0]
