0Meta-Train Tasks: [56.66666498184204, 0]
Meta-Val Tasks: [49.3333324432373, 0]
1Meta-Train Tasks: [54.999997997283934, 0]
Meta-Val Tasks: [49.3333324432373, 0]
2Meta-Train Tasks: [56.666665172576906, 0]
Meta-Val Tasks: [49.3333324432373, 0]
3Meta-Train Tasks: [61.66666469573975, 0]
Meta-Val Tasks: [49.3333324432373, 0]
4Meta-Train Tasks: [52.49999866485596, 0]
Meta-Val Tasks: [49.3333324432373, 0]
5Meta-Train Tasks: [59.99999828338623, 0]
Meta-Val Tasks: [49.3333324432373, 0]
6Meta-Train Tasks: [61.66666450500488, 0]
Meta-Val Tasks: [49.3333324432373, 0]
7Meta-Train Tasks: [51.66666526794434, 0]
Meta-Val Tasks: [49.3333324432373, 0]
8Meta-Train Tasks: [57.49999809265137, 0]
Meta-Val Tasks: [49.3333324432373, 0]
9Meta-Train Tasks: [64.1666648864746, 0]
Meta-Val Tasks: [49.3333324432373, 0]
10Meta-Train Tasks: [59.999998569488525, 0]
Meta-Val Tasks: [50.66666526794434, 0]
11Meta-Train Tasks: [61.66666431427002, 0]
Meta-Val Tasks: [50.66666526794434, 0]
12Meta-Train Tasks: [69.99999704360962, 0]
Meta-Val Tasks: [51.99999809265137, 0]
13Meta-Train Tasks: [63.33333110809326, 0]
Meta-Val Tasks: [49.33333129882813, 0]
14Meta-Train Tasks: [62.499998569488525, 0]
Meta-Val Tasks: [50.66666488647461, 0]
15Meta-Train Tasks: [67.49999713897705, 0]
Meta-Val Tasks: [50.66666488647461, 0]
16Meta-Train Tasks: [74.99999713897705, 0]
Meta-Val Tasks: [51.99999847412109, 0]
17Meta-Train Tasks: [73.33333034515381, 0]
Meta-Val Tasks: [50.66666488647461, 0]
18Meta-Train Tasks: [76.66666450500489, 0]
Meta-Val Tasks: [51.99999847412109, 0]
19Meta-Train Tasks: [79.16666450500489, 0]
Meta-Val Tasks: [53.33333129882813, 0]
20Meta-Train Tasks: [79.16666374206542, 0]
Meta-Val Tasks: [53.33333129882813, 0]
21Meta-Train Tasks: [90.83333129882813, 0]
Meta-Val Tasks: [53.33333129882813, 0]
22Meta-Train Tasks: [82.49999771118163, 0]
Meta-Val Tasks: [54.66666488647461, 0]
23Meta-Train Tasks: [94.16666526794434, 0]
Meta-Val Tasks: [55.99999771118164, 0]
24Meta-Train Tasks: [87.49999771118163, 0]
Meta-Val Tasks: [57.33333053588867, 0]
25Meta-Train Tasks: [89.16666412353516, 0]
Meta-Val Tasks: [59.99999656677246, 0]
26Meta-Train Tasks: [84.99999771118163, 0]
Meta-Val Tasks: [61.333330917358396, 0]
27Meta-Train Tasks: [94.16666526794434, 0]
Meta-Val Tasks: [62.666664123535156, 0]
28Meta-Train Tasks: [97.49999923706055, 0]
Meta-Val Tasks: [62.666664123535156, 0]
29Meta-Train Tasks: [93.33333206176758, 0]
Meta-Val Tasks: [62.666664123535156, 0]
30Meta-Train Tasks: [94.99999923706055, 0]
Meta-Val Tasks: [62.666664123535156, 0]
31Meta-Train Tasks: [93.33333206176758, 0]
Meta-Val Tasks: [62.666664123535156, 0]
32Meta-Train Tasks: [94.99999923706055, 0]
Meta-Val Tasks: [62.666664123535156, 0]
33Meta-Train Tasks: [98.33333282470703, 0]
Meta-Val Tasks: [62.666664123535156, 0]
34Meta-Train Tasks: [97.49999961853027, 0]
Meta-Val Tasks: [62.666664123535156, 0]
35Meta-Train Tasks: [99.16666641235352, 0]
Meta-Val Tasks: [61.33333129882813, 0]
36Meta-Train Tasks: [96.66666564941406, 0]
Meta-Val Tasks: [62.666664123535156, 0]
37Meta-Train Tasks: [98.33333282470703, 0]
Meta-Val Tasks: [62.666664123535156, 0]
38Meta-Train Tasks: [98.33333282470703, 0]
Meta-Val Tasks: [62.666664123535156, 0]
39Meta-Train Tasks: [98.33333282470703, 0]
Meta-Val Tasks: [61.33332977294922, 0]
40Meta-Train Tasks: [96.66666603088379, 0]
Meta-Val Tasks: [62.666664123535156, 0]
41Meta-Train Tasks: [97.49999923706055, 0]
Meta-Val Tasks: [62.666664123535156, 0]
42Meta-Train Tasks: [98.33333282470703, 0]
Meta-Val Tasks: [62.666664123535156, 0]
43Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [62.666664123535156, 0]
44Meta-Train Tasks: [97.49999923706055, 0]
Meta-Val Tasks: [62.666664123535156, 0]
45Meta-Train Tasks: [97.49999923706055, 0]
Meta-Val Tasks: [62.666664123535156, 0]
46Meta-Train Tasks: [99.16666641235352, 0]
Meta-Val Tasks: [62.666664123535156, 0]
47Meta-Train Tasks: [99.16666641235352, 0]
Meta-Val Tasks: [62.666664123535156, 0]
48Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [61.33333129882813, 0]
49Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [62.666664123535156, 0]
50Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [61.33333053588867, 0]
51Meta-Train Tasks: [99.16666641235352, 0]
Meta-Val Tasks: [61.33333053588867, 0]
52Meta-Train Tasks: [99.16666641235352, 0]
Meta-Val Tasks: [61.33333053588867, 0]
53Meta-Train Tasks: [97.49999961853027, 0]
Meta-Val Tasks: [58.666663360595706, 0]
54Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [58.666663360595706, 0]
55Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [58.666663360595706, 0]
56Meta-Train Tasks: [98.33333282470703, 0]
Meta-Val Tasks: [59.999996185302734, 0]
57Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [59.999996185302734, 0]
58Meta-Train Tasks: [98.33333282470703, 0]
Meta-Val Tasks: [59.999996185302734, 0]
59Meta-Train Tasks: [98.33333282470703, 0]
Meta-Val Tasks: [61.33333053588867, 0]
60Meta-Train Tasks: [96.66666603088379, 0]
Meta-Val Tasks: [61.33333053588867, 0]
61Meta-Train Tasks: [64.44444065093994, 0]
Meta-Val Tasks: [61.33333129882813, 0]
62Meta-Train Tasks: [82.22221851348877, 0]
Meta-Val Tasks: [61.33332977294922, 0]
63Meta-Train Tasks: [90.55555362701416, 0]
Meta-Val Tasks: [59.999996948242185, 0]
64Meta-Train Tasks: [93.33333129882813, 0]
Meta-Val Tasks: [61.33332977294922, 0]
65Meta-Train Tasks: [91.66666450500489, 0]
Meta-Val Tasks: [61.33332977294922, 0]
66Meta-Train Tasks: [94.9999984741211, 0]
Meta-Val Tasks: [62.666663360595706, 0]
67Meta-Train Tasks: [91.11110935211181, 0]
Meta-Val Tasks: [62.666664123535156, 0]
68Meta-Train Tasks: [96.66666564941406, 0]
Meta-Val Tasks: [61.33332977294922, 0]
69Meta-Train Tasks: [96.11110992431641, 0]
Meta-Val Tasks: [63.99999771118164, 0]
70Meta-Train Tasks: [96.66666603088379, 0]
Meta-Val Tasks: [63.99999771118164, 0]
71Meta-Train Tasks: [97.77777709960938, 0]
Meta-Val Tasks: [62.666664123535156, 0]
72Meta-Train Tasks: [97.77777709960938, 0]
Meta-Val Tasks: [62.666664123535156, 0]
73Meta-Train Tasks: [94.9999984741211, 0]
Meta-Val Tasks: [61.33332977294922, 0]
74Meta-Train Tasks: [98.33333282470703, 0]
Meta-Val Tasks: [61.33332977294922, 0]
75Meta-Train Tasks: [96.66666564941406, 0]
Meta-Val Tasks: [62.666664123535156, 0]
76Meta-Train Tasks: [96.66666564941406, 0]
Meta-Val Tasks: [62.666664123535156, 0]
77Meta-Train Tasks: [98.33333282470703, 0]
Meta-Val Tasks: [62.666664123535156, 0]
78Meta-Train Tasks: [98.88888854980469, 0]
Meta-Val Tasks: [63.99999847412109, 0]
79Meta-Train Tasks: [97.77777709960938, 0]
Meta-Val Tasks: [63.99999771118164, 0]
80Meta-Train Tasks: [99.44444427490234, 0]
Meta-Val Tasks: [63.99999771118164, 0]
81Meta-Train Tasks: [99.44444427490234, 0]
Meta-Val Tasks: [63.99999771118164, 0]
82Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [63.99999771118164, 0]
83Meta-Train Tasks: [98.88888854980469, 0]
Meta-Val Tasks: [63.99999771118164, 0]
84Meta-Train Tasks: [98.88888854980469, 0]
Meta-Val Tasks: [63.99999771118164, 0]
85Meta-Train Tasks: [97.77777709960938, 0]
Meta-Val Tasks: [65.33333206176758, 0]
86Meta-Train Tasks: [99.44444427490234, 0]
Meta-Val Tasks: [63.99999847412109, 0]
87Meta-Train Tasks: [98.33333282470703, 0]
Meta-Val Tasks: [62.666663360595706, 0]
88Meta-Train Tasks: [99.44444427490234, 0]
Meta-Val Tasks: [61.33332977294922, 0]
89Meta-Train Tasks: [96.66666564941406, 0]
Meta-Val Tasks: [61.33332977294922, 0]
90Meta-Train Tasks: [98.88888854980469, 0]
Meta-Val Tasks: [61.33332977294922, 0]
91Meta-Train Tasks: [98.88888854980469, 0]
Meta-Val Tasks: [61.33332977294922, 0]
92Meta-Train Tasks: [98.88888854980469, 0]
Meta-Val Tasks: [62.66666488647461, 0]
93Meta-Train Tasks: [98.33333282470703, 0]
Meta-Val Tasks: [62.66666488647461, 0]
