0Meta-Train Tasks: [16.666666185855867, 0]
Meta-Val Tasks: [49.3333324432373, 0]
1Meta-Train Tasks: [17.833332788944244, 0]
Meta-Val Tasks: [49.3333324432373, 0]
2Meta-Train Tasks: [15.333332979679108, 0]
Meta-Val Tasks: [49.3333324432373, 0]
3Meta-Train Tasks: [19.16666613817215, 0]
Meta-Val Tasks: [49.3333324432373, 0]
4Meta-Train Tasks: [19.666666293144225, 0]
Meta-Val Tasks: [49.3333324432373, 0]
5Meta-Train Tasks: [17.833332908153533, 0]
Meta-Val Tasks: [49.3333324432373, 0]
6Meta-Train Tasks: [20.666666173934935, 0]
Meta-Val Tasks: [50.66666526794434, 0]
7Meta-Train Tasks: [18.499999523162842, 0]
Meta-Val Tasks: [49.33333168029785, 0]
8Meta-Train Tasks: [19.333332800865172, 0]
Meta-Val Tasks: [50.66666488647461, 0]
9Meta-Train Tasks: [20.333332824707032, 0]
Meta-Val Tasks: [50.66666488647461, 0]
10Meta-Train Tasks: [24.16666603088379, 0]
Meta-Val Tasks: [50.66666488647461, 0]
11Meta-Train Tasks: [21.333332931995393, 0]
Meta-Val Tasks: [50.66666488647461, 0]
12Meta-Train Tasks: [25.166665887832643, 0]
Meta-Val Tasks: [51.99999809265137, 0]
13Meta-Train Tasks: [29.333332681655882, 0]
Meta-Val Tasks: [51.99999809265137, 0]
14Meta-Train Tasks: [29.83333225250244, 0]
Meta-Val Tasks: [54.66666450500488, 0]
15Meta-Train Tasks: [32.166665649414064, 0]
Meta-Val Tasks: [53.33333168029785, 0]
16Meta-Train Tasks: [30.83333249092102, 0]
Meta-Val Tasks: [53.333330917358396, 0]
17Meta-Train Tasks: [33.4999990940094, 0]
Meta-Val Tasks: [53.333330917358396, 0]
18Meta-Train Tasks: [33.33333263397217, 0]
Meta-Val Tasks: [53.333330917358396, 0]
19Meta-Train Tasks: [34.16666584014892, 0]
Meta-Val Tasks: [54.66666526794434, 0]
20Meta-Train Tasks: [41.333332252502444, 0]
Meta-Val Tasks: [54.66666526794434, 0]
21Meta-Train Tasks: [40.99999885559082, 0]
Meta-Val Tasks: [57.33333206176758, 0]
22Meta-Train Tasks: [42.166665363311765, 0]
Meta-Val Tasks: [57.33333206176758, 0]
23Meta-Train Tasks: [46.99999866485596, 0]
Meta-Val Tasks: [57.33333206176758, 0]
24Meta-Train Tasks: [42.49999847412109, 0]
Meta-Val Tasks: [59.99999923706055, 0]
25Meta-Train Tasks: [48.49999885559082, 0]
Meta-Val Tasks: [58.666665649414064, 0]
26Meta-Train Tasks: [51.833332252502444, 0]
Meta-Val Tasks: [59.99999923706055, 0]
27Meta-Train Tasks: [49.66666488647461, 0]
Meta-Val Tasks: [58.666665649414064, 0]
28Meta-Train Tasks: [53.66666526794434, 0]
Meta-Val Tasks: [61.33333206176758, 0]
29Meta-Train Tasks: [54.49999866485596, 0]
Meta-Val Tasks: [62.66666488647461, 0]
30Meta-Train Tasks: [57.166665649414064, 0]
Meta-Val Tasks: [62.66666488647461, 0]
31Meta-Train Tasks: [62.83333168029785, 0]
Meta-Val Tasks: [62.66666488647461, 0]
32Meta-Train Tasks: [63.66666526794434, 0]
Meta-Val Tasks: [62.66666488647461, 0]
33Meta-Train Tasks: [63.99999828338623, 0]
Meta-Val Tasks: [62.66666488647461, 0]
34Meta-Train Tasks: [66.83333129882813, 0]
Meta-Val Tasks: [62.66666488647461, 0]
35Meta-Train Tasks: [66.99999866485595, 0]
Meta-Val Tasks: [61.33333053588867, 0]
36Meta-Train Tasks: [68.66666469573974, 0]
Meta-Val Tasks: [61.33333053588867, 0]
37Meta-Train Tasks: [71.9999979019165, 0]
Meta-Val Tasks: [62.66666488647461, 0]
38Meta-Train Tasks: [71.66666526794434, 0]
Meta-Val Tasks: [61.33333053588867, 0]
39Meta-Train Tasks: [75.33333110809326, 0]
Meta-Val Tasks: [61.33333053588867, 0]
40Meta-Train Tasks: [75.99999752044678, 0]
Meta-Val Tasks: [61.33333053588867, 0]
41Meta-Train Tasks: [74.16666393280029, 0]
Meta-Val Tasks: [59.99999771118164, 0]
42Meta-Train Tasks: [78.33333110809326, 0]
Meta-Val Tasks: [59.99999771118164, 0]
43Meta-Train Tasks: [81.33333053588868, 0]
Meta-Val Tasks: [61.33333053588867, 0]
44Meta-Train Tasks: [81.49999732971192, 0]
Meta-Val Tasks: [61.33333053588867, 0]
45Meta-Train Tasks: [81.33333072662353, 0]
Meta-Val Tasks: [59.999996948242185, 0]
46Meta-Train Tasks: [81.16666431427002, 0]
Meta-Val Tasks: [59.999996948242185, 0]
47Meta-Train Tasks: [83.66666374206542, 0]
Meta-Val Tasks: [58.666664123535156, 0]
48Meta-Train Tasks: [87.49999732971192, 0]
Meta-Val Tasks: [59.999996948242185, 0]
49Meta-Train Tasks: [86.99999732971192, 0]
Meta-Val Tasks: [58.666664123535156, 0]
50Meta-Train Tasks: [84.83333015441895, 0]
Meta-Val Tasks: [59.999996948242185, 0]
51Meta-Train Tasks: [87.49999732971192, 0]
Meta-Val Tasks: [59.999996948242185, 0]
52Meta-Train Tasks: [88.66666412353516, 0]
Meta-Val Tasks: [59.999996948242185, 0]
53Meta-Train Tasks: [88.83332977294921, 0]
Meta-Val Tasks: [61.33333053588867, 0]
54Meta-Train Tasks: [89.8333309173584, 0]
Meta-Val Tasks: [62.66666488647461, 0]
55Meta-Train Tasks: [87.99999732971192, 0]
Meta-Val Tasks: [63.99999771118164, 0]
56Meta-Train Tasks: [88.99999694824218, 0]
Meta-Val Tasks: [65.33333129882813, 0]
57Meta-Train Tasks: [89.83333015441895, 0]
Meta-Val Tasks: [63.99999847412109, 0]
58Meta-Train Tasks: [92.99999809265137, 0]
Meta-Val Tasks: [62.66666488647461, 0]
59Meta-Train Tasks: [90.16666412353516, 0]
Meta-Val Tasks: [61.33333053588867, 0]
60Meta-Train Tasks: [92.99999732971192, 0]
Meta-Val Tasks: [63.99999847412109, 0]
