0Meta-Train Tasks: [40.19999885559082, 0]
Meta-Val Tasks: [40.53333200454712, 0]
1Meta-Train Tasks: [52.266665382385256, 0]
Meta-Val Tasks: [70.66666442871093, 0]
2Meta-Train Tasks: [83.33333072662353, 0]
Meta-Val Tasks: [89.5999969482422, 0]
3Meta-Train Tasks: [93.86666519165038, 0]
Meta-Val Tasks: [90.39999633789063, 0]
4Meta-Train Tasks: [97.59999900817871, 0]
Meta-Val Tasks: [90.93332977294922, 0]
5Meta-Train Tasks: [98.86666580200195, 0]
Meta-Val Tasks: [90.93332977294922, 0]
6Meta-Train Tasks: [99.46666625976563, 0]
Meta-Val Tasks: [91.46666320800782, 0]
7Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [91.46666320800782, 0]
8Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [90.6666635131836, 0]
9Meta-Train Tasks: [99.9333332824707, 0]
Meta-Val Tasks: [90.93333038330078, 0]
10Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [90.6666635131836, 0]
11Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [91.19999694824219, 0]
12Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [91.19999694824219, 0]
13Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [91.19999694824219, 0]
14Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [91.46666351318359, 0]
15Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [90.933330078125, 0]
16Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [90.39999725341796, 0]
17Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [90.39999725341796, 0]
18Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [90.39999725341796, 0]
19Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [90.39999725341796, 0]
20Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [90.39999725341796, 0]
21Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [90.39999725341796, 0]
22Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [90.39999725341796, 0]
23Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [90.39999725341796, 0]
24Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [90.39999725341796, 0]
25Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [90.39999725341796, 0]
26Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [90.66666381835938, 0]
27Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [90.66666381835938, 0]
28Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [90.66666381835938, 0]
29Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [90.66666381835938, 0]
30Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [90.66666381835938, 0]
31Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [90.66666381835938, 0]
32Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [90.66666381835938, 0]
33Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [90.39999694824219, 0]
34Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [90.39999694824219, 0]
35Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [90.39999694824219, 0]
36Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [90.39999694824219, 0]
37Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [90.39999694824219, 0]
38Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [90.39999694824219, 0]
39Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [90.39999694824219, 0]
40Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [90.39999694824219, 0]
41Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [90.39999694824219, 0]
42Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [90.39999694824219, 0]
43Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [90.39999694824219, 0]
44Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [90.39999694824219, 0]
45Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [90.39999694824219, 0]
46Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [90.39999694824219, 0]
47Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [90.39999694824219, 0]
48Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [90.39999694824219, 0]
49Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [90.39999694824219, 0]
50Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [90.39999694824219, 0]
51Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [90.39999694824219, 0]
52Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [90.39999694824219, 0]
53Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [90.39999694824219, 0]
54Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [90.39999694824219, 0]
55Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [90.39999694824219, 0]
