0Meta-Train Tasks: [75.83333168029785, 0]
Meta-Val Tasks: [30.66666603088379, 0]
1Meta-Train Tasks: [74.16666412353516, 0]
Meta-Val Tasks: [30.66666603088379, 0]
2Meta-Train Tasks: [75.83333015441895, 0]
Meta-Val Tasks: [30.66666603088379, 0]
3Meta-Train Tasks: [74.99999752044678, 0]
Meta-Val Tasks: [31.99999885559082, 0]
4Meta-Train Tasks: [78.3333306312561, 0]
Meta-Val Tasks: [31.99999885559082, 0]
5Meta-Train Tasks: [75.83333072662353, 0]
Meta-Val Tasks: [37.3333324432373, 0]
6Meta-Train Tasks: [74.16666460037231, 0]
Meta-Val Tasks: [37.3333324432373, 0]
7Meta-Train Tasks: [83.3333309173584, 0]
Meta-Val Tasks: [38.66666526794434, 0]
8Meta-Train Tasks: [79.99999809265137, 0]
Meta-Val Tasks: [41.3333324432373, 0]
9Meta-Train Tasks: [82.49999732971192, 0]
Meta-Val Tasks: [42.66666526794434, 0]
10Meta-Train Tasks: [87.49999732971192, 0]
Meta-Val Tasks: [43.99999847412109, 0]
11Meta-Train Tasks: [83.33333110809326, 0]
Meta-Val Tasks: [43.99999847412109, 0]
12Meta-Train Tasks: [91.66666450500489, 0]
Meta-Val Tasks: [49.33333129882813, 0]
13Meta-Train Tasks: [90.83333053588868, 0]
Meta-Val Tasks: [57.33333206176758, 0]
14Meta-Train Tasks: [95.83333206176758, 0]
Meta-Val Tasks: [65.33333206176758, 0]
15Meta-Train Tasks: [96.66666564941406, 0]
Meta-Val Tasks: [70.66666412353516, 0]
16Meta-Train Tasks: [99.16666641235352, 0]
Meta-Val Tasks: [73.33333129882813, 0]
17Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [75.99999694824218, 0]
18Meta-Train Tasks: [99.16666641235352, 0]
Meta-Val Tasks: [77.33333129882813, 0]
19Meta-Train Tasks: [98.33333282470703, 0]
Meta-Val Tasks: [79.9999984741211, 0]
20Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [79.9999984741211, 0]
21Meta-Train Tasks: [99.16666641235352, 0]
Meta-Val Tasks: [79.9999984741211, 0]
22Meta-Train Tasks: [99.16666641235352, 0]
Meta-Val Tasks: [79.9999984741211, 0]
23Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [79.9999984741211, 0]
24Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [82.66666412353516, 0]
25Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [83.99999694824218, 0]
26Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [83.99999694824218, 0]
27Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [86.66666412353516, 0]
28Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [87.99999694824218, 0]
29Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [87.99999694824218, 0]
30Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [87.99999694824218, 0]
31Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [87.99999694824218, 0]
32Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [87.99999694824218, 0]
33Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [87.99999694824218, 0]
34Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [87.99999694824218, 0]
35Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [87.99999694824218, 0]
36Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [89.33333129882813, 0]
37Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [89.33333129882813, 0]
38Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [89.33333129882813, 0]
39Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [89.33333129882813, 0]
40Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [90.66666412353516, 0]
41Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [90.66666412353516, 0]
42Meta-Train Tasks: [99.16666641235352, 0]
Meta-Val Tasks: [90.66666412353516, 0]
43Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [90.66666412353516, 0]
44Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [91.99999694824218, 0]
45Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [91.99999694824218, 0]
46Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [91.99999694824218, 0]
47Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [91.99999694824218, 0]
48Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [93.33332977294921, 0]
49Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [93.33332977294921, 0]
50Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [93.33332977294921, 0]
51Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [93.33332977294921, 0]
52Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [93.33332977294921, 0]
53Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [93.33332977294921, 0]
54Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [93.33332977294921, 0]
55Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [93.33332977294921, 0]
56Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [93.33332977294921, 0]
57Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [93.33332977294921, 0]
58Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [93.33332977294921, 0]
59Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [93.33332977294921, 0]
60Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [93.33332977294921, 0]
61Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [93.33332977294921, 0]
62Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [93.33332977294921, 0]
63Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [93.33332977294921, 0]
64Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [93.33332977294921, 0]
65Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [93.33332977294921, 0]
66Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [93.33332977294921, 0]
67Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [93.33332977294921, 0]
68Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [93.33332977294921, 0]
69Meta-Train Tasks: [100.0, 0]
Meta-Val Tasks: [93.33332977294921, 0]
