0Meta-Train Tasks: [23.333333206176757, 0]
Meta-Val Tasks: [30.66666603088379, 0]
1Meta-Train Tasks: [24.285714149475098, 0]
Meta-Val Tasks: [30.66666603088379, 0]
2Meta-Train Tasks: [22.857142639160156, 0]
Meta-Val Tasks: [35.99999885559082, 0]
3Meta-Train Tasks: [24.523809242248536, 0]
Meta-Val Tasks: [35.99999885559082, 0]
4Meta-Train Tasks: [27.499999809265137, 0]
Meta-Val Tasks: [41.3333324432373, 0]
5Meta-Train Tasks: [31.42857093811035, 0]
Meta-Val Tasks: [42.666665649414064, 0]
6Meta-Train Tasks: [33.45238046646118, 0]
Meta-Val Tasks: [46.666665649414064, 0]
7Meta-Train Tasks: [40.59523782730103, 0]
Meta-Val Tasks: [53.33333206176758, 0]
8Meta-Train Tasks: [48.92857151031494, 0]
Meta-Val Tasks: [66.66666564941406, 0]
9Meta-Train Tasks: [58.33333282470703, 0]
Meta-Val Tasks: [77.33333129882813, 0]
10Meta-Train Tasks: [66.19047584533692, 0]
Meta-Val Tasks: [82.66666412353516, 0]
11Meta-Train Tasks: [73.5714282989502, 0]
Meta-Val Tasks: [87.9999984741211, 0]
12Meta-Train Tasks: [77.61904716491699, 0]
Meta-Val Tasks: [93.33332977294921, 0]
13Meta-Train Tasks: [80.83333320617676, 0]
Meta-Val Tasks: [93.33332977294921, 0]
14Meta-Train Tasks: [83.57142753601075, 0]
Meta-Val Tasks: [93.33332977294921, 0]
15Meta-Train Tasks: [85.35714225769043, 0]
Meta-Val Tasks: [91.99999694824218, 0]
16Meta-Train Tasks: [88.21428527832032, 0]
Meta-Val Tasks: [93.33332977294921, 0]
17Meta-Train Tasks: [89.28571357727051, 0]
Meta-Val Tasks: [93.33332977294921, 0]
18Meta-Train Tasks: [91.54761848449706, 0]
Meta-Val Tasks: [93.33332977294921, 0]
19Meta-Train Tasks: [93.33333396911621, 0]
Meta-Val Tasks: [93.33332977294921, 0]
20Meta-Train Tasks: [94.64285736083984, 0]
Meta-Val Tasks: [93.33332977294921, 0]
21Meta-Train Tasks: [95.35714416503906, 0]
Meta-Val Tasks: [93.33332977294921, 0]
22Meta-Train Tasks: [96.07142906188965, 0]
Meta-Val Tasks: [93.33332977294921, 0]
23Meta-Train Tasks: [97.14285812377929, 0]
Meta-Val Tasks: [93.33332977294921, 0]
24Meta-Train Tasks: [97.38095359802246, 0]
Meta-Val Tasks: [93.33332977294921, 0]
25Meta-Train Tasks: [98.33333435058594, 0]
Meta-Val Tasks: [93.33332977294921, 0]
26Meta-Train Tasks: [98.57142944335938, 0]
Meta-Val Tasks: [93.33332977294921, 0]
27Meta-Train Tasks: [97.61904830932617, 0]
Meta-Val Tasks: [93.33332977294921, 0]
28Meta-Train Tasks: [98.33333396911621, 0]
Meta-Val Tasks: [93.33332977294921, 0]
29Meta-Train Tasks: [99.28571472167968, 0]
Meta-Val Tasks: [93.33332977294921, 0]
30Meta-Train Tasks: [99.28571472167968, 0]
Meta-Val Tasks: [93.33332977294921, 0]
31Meta-Train Tasks: [99.16666717529297, 0]
Meta-Val Tasks: [93.33332977294921, 0]
32Meta-Train Tasks: [99.04761962890625, 0]
